song_id,entry_date,exit_date,days_on_playlist,peak_position,peak_date,time_to_peak
LA SEVILLANA - Omar Montes,2025-04-14,2025-05-04,21,3,2025-04-20,6
LA SEVILLANA - SEVILLANAS - Omar Montes,2025-05-05,2025-07-03,60,8,2025-05-05,0
LA VUELTA - Feid,2024-12-02,2024-12-02,1,48,2024-12-02,0
LA ÚLTIMA - Quevedo,2025-02-03,2025-03-23,48,1,2025-02-03,0
LAGUNA - Mora,2024-08-30,2024-09-02,4,11,2024-08-30,0
LALA - Myke Towers,2024-06-29,2025-09-24,310,1,2024-07-05,6
LAS BABYS - Aitana,2024-06-09,2024-08-29,82,4,2024-06-11,2
LATTE (feat. Maria Becerra) - The Academy: Segunda Misión & Sech & Dalex,2025-03-31,2025-03-31,1,43,2025-03-31,0
LOKITA - Mora,2024-08-30,2024-09-02,4,13,2024-08-30,0
LOS DÍAS CONTADOS - Quevedo,2025-11-24,2025-11-27,4,4,2025-11-24,0
LOS PITS - Bad Bunny,2024-10-14,2024-10-20,7,20,2024-10-14,0
LUCES DE TECNO - Feid,2024-09-30,2025-02-03,124,7,2024-09-30,0
LUNA - Feid,2024-12-02,2025-11-27,357,2,2025-01-11,40
LUNA - SAIKO,2025-04-28,2025-05-09,12,9,2025-04-28,0
LUNCH - Billie Eilish,2025-05-19,2025-05-30,12,20,2025-05-25,6
La Baby - Brytiago,2024-11-03,2024-12-02,16,3,2024-11-30,27
La Bachata - Manuel Turizo,2024-05-18,2025-11-19,538,11,2025-01-01,228
La Bebe - Remix - Yng Lvcas & Peso Pluma,2024-05-18,2024-08-29,104,10,2024-06-01,14
La Canción Feliz Del Disco - Eladio Carrion,2025-01-21,2025-01-24,4,13,2025-01-21,0
La Fiesta - Pedro Capó,2024-05-18,2024-06-27,17,30,2024-05-20,2
La Gata Bajo La Lluvia - Naiara,2025-01-25,2025-01-25,1,46,2025-01-25,0
La Jumpa - Arcángel,2024-05-18,2024-06-23,37,36,2024-05-29,11
La Rizos [Dime Si Le Comento a la Pura] - Las 2K & Chardo Chardemio & Melody Records International,2025-08-25,2025-11-06,69,22,2025-09-15,21
La Torre Picasso - Arde Bogotá,2025-09-15,2025-09-15,1,46,2025-09-15,0
La Vida Sin Ti - Rels B,2025-04-28,2025-06-29,63,8,2025-05-02,4
La Vida Sin Ti - Rels B & Lia Kali,2025-04-25,2025-04-27,3,15,2025-04-25,0
La roja baila - Himno oficial de la selección española - Sergio Ramos & Niña Pastori & RedOne,2025-07-15,2025-07-16,2,9,2025-07-15,0
